NUTS,DISTRICT_CODE,SUB_DISTRICT_CODE,REF_YEAR,REF_DATE,SEX,AGE5,nationality_group,population_count
AT13,90100,90100,2002,2002-01-01,1,1,AUT,265
AT13,90100,90100,2003,2003-01-01,1,1,AUT,258
AT13,90100,90100,2004,2004-01-01,1,1,AUT,251
AT13,90100,90100,2005,2005-01-01,1,1,AUT,245
AT13,90100,90100,2006,2006-01-01,1,1,AUT,236
AT13,90100,90100,2007,2007-01-01,1,1,AUT,213
AT13,90100,90100,2008,2008-01-01,1,1,AUT,208
AT13,90100,90100,2009,2009-01-01,1,1,AUT,216
AT13,90100,90100,2010,2010-01-01,1,1,AUT,233
AT13,90100,90100,2011,2011-01-01,1,1,AUT,229
AT13,90100,90100,2012,2012-01-01,1,1,AUT,230
AT13,90100,90100,2013,2013-01-01,1,1,AUT,231
AT13,90100,90100,2014,2014-01-01,1,1,AUT,236
AT13,90100,90100,2015,2015-01-01,1,1,AUT,244
AT13,90100,90100,2016,2016-01-01,1,1,AUT,261
AT13,90100,90100,2017,2017-01-01,1,1,AUT,268
AT13,90100,90100,2018,2018-01-01,1,1,AUT,265
AT13,90100,90100,2019,2019-01-01,1,1,AUT,233
AT13,90100,90100,2020,2020-01-01,1,1,AUT,203
AT13,90100,90100,2021,2021-01-01,1,1,AUT,195
AT13,90100,90100,2022,2022-01-01,1,1,AUT,203
AT13,90100,90100,2023,2023-01-01,1,1,AUT,209
AT13,90100,90100,2024,2024-01-01,1,1,AUT,185
AT13,90100,90100,2025,2025-01-01,1,1,AUT,191
AT13,90100,90100,2002,2002-01-01,1,1,EEA,28
AT13,90100,90100,2003,2003-01-01,1,1,EEA,19
AT13,90100,90100,2004,2004-01-01,1,1,EEA,15
AT13,90100,90100,2005,2005-01-01,1,1,EEA,23
AT13,90100,90100,2006,2006-01-01,1,1,EEA,29
AT13,90100,90100,2007,2007-01-01,1,1,EEA,26
AT13,90100,90100,2008,2008-01-01,1,1,EEA,28
AT13,90100,90100,2009,2009-01-01,1,1,EEA,26
AT13,90100,90100,2010,2010-01-01,1,1,EEA,31
AT13,90100,90100,2011,2011-01-01,1,1,EEA,43
AT13,90100,90100,2012,2012-01-01,1,1,EEA,48
AT13,90100,90100,2013,2013-01-01,1,1,EEA,40
AT13,90100,90100,2014,2014-01-01,1,1,EEA,47
AT13,90100,90100,2015,2015-01-01,1,1,EEA,44
AT13,90100,90100,2016,2016-01-01,1,1,EEA,40
AT13,90100,90100,2017,2017-01-01,1,1,EEA,34
AT13,90100,90100,2018,2018-01-01,1,1,EEA,29
AT13,90100,90100,2019,2019-01-01,1,1,EEA,26
AT13,90100,90100,2020,2020-01-01,1,1,EEA,35
AT13,90100,90100,2021,2021-01-01,1,1,EEA,39
AT13,90100,90100,2022,2022-01-01,1,1,EEA,37
AT13,90100,90100,2023,2023-01-01,1,1,EEA,39
AT13,90100,90100,2024,2024-01-01,1,1,EEA,42
AT13,90100,90100,2025,2025-01-01,1,1,EEA,29
AT13,90100,90100,2002,2002-01-01,1,1,REU,18
AT13,90100,90100,2003,2003-01-01,1,1,REU,14
AT13,90100,90100,2004,2004-01-01,1,1,REU,12
AT13,90100,90100,2005,2005-01-01,1,1,REU,10
AT13,90100,90100,2006,2006-01-01,1,1,REU,12
AT13,90100,90100,2007,2007-01-01,1,1,REU,13
AT13,90100,90100,2008,2008-01-01,1,1,REU,9
AT13,90100,90100,2009,2009-01-01,1,1,REU,11
AT13,90100,90100,2010,2010-01-01,1,1,REU,8
AT13,90100,90100,2011,2011-01-01,1,1,REU,12
AT13,90100,90100,2012,2012-01-01,1,1,REU,16
AT13,90100,90100,2013,2013-01-01,1,1,REU,15
AT13,90100,90100,2014,2014-01-01,1,1,REU,19
AT13,90100,90100,2015,2015-01-01,1,1,REU,16
AT13,90100,90100,2016,2016-01-01,1,1,REU,17
AT13,90100,90100,2017,2017-01-01,1,1,REU,20
AT13,90100,90100,2018,2018-01-01,1,1,REU,18
